bit_length, total_bits, random_multiplier, rhs_projection_ell
19,231,472622,46634331518060233571713214023492504449781723005763784502904035185817033554867
19,231,382219,63060241916181147983323211149582517887659253391450897374078718244344216532327
19,231,394509,1346322001739331989497567351688677544490873950396294253182930341169368454837
19,231,430361,52874291505275698161159609205220329500917218528585191621940761536752502581791
19,231,356497,77644381287192789099933084722441793260275027368580352868578501703970965233795
19,231,481275,106318141426504630956209346782511372079416011364967198304301805354472059682233
19,231,290975,82829518607079104424416252826938045650685569916278407497556401409121548510699
19,231,473762,57903889958132570480057019554299828655929639585891504672534338243227906185035
19,231,388870,830810563206354299474949432506765065504119630639956448652351322872677509180
19,231,382432,13468069432339732753851896473066575734014018589595957366431369370221760904265
19,231,395833,105653456086204773935679631656038843519224899455147818883251202611562729345773
19,231,491844,71454123300309129619927779467107359115819401918532364835672510630801340527596
19,231,460586,37846028892944643806315043455638934178664791788045635950421897326891128238750
19,231,291624,4634265048131873332270288501823154815654390103303463523969760546219253464439
19,231,492579,30963808776882217570115342567736190168504935074365440527443508205643601341256
19,231,274445,9623380287608756256005788706399680994823661993367732214217751757600841319988
19,231,347044,64434059438612732382878323283924139092951132012153090585817080369436316594088
19,231,350980,86061444815268607946915161473137427437709385842948644030742184591941446313831
19,231,282149,106581416772195814034094479320652374923939015579199058787219263207463574452654
19,231,428809,39712605158585019728074958172795042729135659310540316957833301796491898695977
